taxa,PCO1,PCO2,r,vector
Labridae Thalassoma lutescens,-0.168361844,-0.03218835,0.171411203,
Lethrinidae Gymnocranius grandoculis,-0.000399465,0.165700085,0.165700567,
Lethrinidae Gymnocranius sp1,-0.005382512,0.040790874,0.041144463,
Lethrinidae Lethrinus punctulatus,-0.077969239,-0.032732481,0.084561324,
Lethrinidae Lethrinus ravus,-0.18259493,-0.039241218,0.186763973,
Lutjanidae Pristipomoides multidens,-0.016524516,0.427276542,0.427595957,
Lutjanidae Pristipomoides typus,-0.040903271,0.303590277,0.306333371,
Mo0canthidae Aluterus scriptus,-0.168361844,-0.03218835,0.171411203,
Mo0canthidae Nelusetta ayraud,-0.014438379,0.230905372,0.231356344,
Muraenidae Gymnothorax nudivomer,-0.116612342,-0.036162416,0.12209078,
Muraenidae Gymnothorax thyrsoideus,-0.116612342,-0.036162416,0.12209078,
Muraenidae Gymnothorax woodwardi,-0.20308975,0.211614904,0.293302428,
Orectolobidae Orectolobus hutchinsi,-0.166840454,-0.074638804,0.182774966,
Ostraciidae Tetrosomus reipublicae,-0.007643348,0.040694638,0.041406211,
Pempherididae Pempheris tomi0gai,-0.168890487,-0.071896631,0.183556863,
Pinguipedidae Parapercis haackei,-0.077969239,-0.032732481,0.084561324,
Pinguipedidae Parapercis nebulosa,-0.097655127,0.261025224,0.27869462,
Pomacentridae Parma mccullochi,-0.153085366,-0.08475378,0.174980949,
Rachycentridae Rachycentron ca0dum,0.012011769,0.025456337,0.02814796,
Rhinidae Rhynchobatus australiae,0.028472865,0.035472247,0.045486089,
Scombridae Scomberomorus spp,-0.100406004,0.09303528,0.136882902,
Serranidae Epinephelus areolatus,-0.056200711,0.280080711,0.285663657,
Serranidae Epinephelus morrhua,-0.026699188,0.132900051,0.135555414,
Siganidae Siganus argenteus,-0.168361844,-0.03218835,0.171411203,
Siganidae Siganus punctatus,-0.168361844,-0.03218835,0.171411203,
Sphyrnidae Sphyra lewini,0.043779526,-0.010889087,0.045113403,
Tetraodontidae Lagocephalus sceleratus,0.07189179,0.211438478,0.223326352,
Tetraodontidae Torquigener pallimaculatus,-0.052456342,0.10511191,0.117474173,
Triakidae Hemitriakis falcata,-0.01163045,0.213403649,0.213720342,
Triakidae Mustelus ravidus,0.082525519,0.057824508,0.100767728,
Trygonorrhinidae Aptychotrema vincentiana,-0.153085366,-0.08475378,0.174980949,
Urolophidae Unknown spp,-0.095316031,-0.022616313,0.097962459,
Zanclidae Zanclus cornutus,-0.168361844,-0.03218835,0.171411203,
