"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Lethrinus","rubrioperculatus",293.00263,3143.25511,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Lethrinus","rubrioperculatus",376.40821,3492.50192,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",423.44651,3078.35308,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",473.67341,4042.12635,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",354.12164,3629.89606,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",425.35251,3425.58154,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",432.82446,3191.32342,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",448.64436,2923.63538,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",333.92773,3892.99369,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",425.2992,3792.76921,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",427.54185,3473.82913,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Pomacanthidae","Apolemichthys","trimaculatus",197.66458,2615.0502,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Balistidae","Xanthichthys","lineopunctatus",265.49709,5174.62293,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Lethrinidae","Gymnocranius","sp1",224.37207,3716.26414,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Lutjanidae","Pristipomoides","sp1",456.54445,5917.34707,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","imperator",272.34147,4884.04058,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","imperator",272.34147,4884.04058,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","semicirculatus",273.83281,3518.89433,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB11","2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","semicirculatus",300.79789,2377.23204,-22.7358,113.5445,"NA","NA","Pt Cloates","NA","NA",87,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB12","2021-08_PtCloates_BOSS","PCFB12","Carangidae","Seriola","rivoliana",776.16489,5520.15861,-22.6981,113.5558,"NA","NA","Pt Cloates","NA","NA",83.9,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB12","2021-08_PtCloates_BOSS","PCFB12","Lethrinidae","Gymnocranius","sp1",449.02991,2342.85594,-22.6981,113.5558,"NA","NA","Pt Cloates","NA","NA",83.9,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB12","2021-08_PtCloates_BOSS","PCFB12","Lethrinidae","Gymnocranius","sp1",435.17421,3099.47584,-22.6981,113.5558,"NA","NA","Pt Cloates","NA","NA",83.9,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Carcharhinidae","Carcharhinus","albimarginatus",1918.48665,5455.13444,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",264.1856,3986.13766,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",248.04465,2807.0951,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",252.88563,2394.82249,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Gymnocranius","sp1",261.55665,3673.48801,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Gymnocranius","sp1",256.1971,2784.41001,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Lethrinus","miniatus",488.85319,5168.07415,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Lethrinus","nebulosus",438.94558,5715.60881,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Scaridae","Scarus","spp",412.24656,5226.0632,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB15.1","2021-08_PtCloates_BOSS","PCFB15.1","Scaridae","Scarus","spp",522.13912,4677.10492,-22.7101,113.5505,"NA","NA","Pt Cloates","NA","NA",88,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB16","2021-08_PtCloates_BOSS","PCFB16","Carangidae","Seriola","rivoliana",686.93736,4639.2479,-22.7061,113.5545,"NA","NA","Pt Cloates","NA","NA",79.8,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB16","2021-08_PtCloates_BOSS","PCFB16","Carangidae","Seriola","spp",697.29396,7020.28407,-22.7061,113.5545,"NA","NA","Pt Cloates","NA","NA",79.8,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB16","2021-08_PtCloates_BOSS","PCFB16","Carcharhinidae","Carcharhinus","albimarginatus",1775.19907,5002.62512,-22.7061,113.5545,"NA","NA","Pt Cloates","NA","NA",79.8,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB16","2021-08_PtCloates_BOSS","PCFB16","Lethrinidae","Gymnocranius","spp",472.15581,3726.67993,-22.7061,113.5545,"NA","NA","Pt Cloates","NA","NA",79.8,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB17","2021-08_PtCloates_BOSS","PCFB17","Lethrinidae","Gymnocranius","sp1",362.83804,3471.94852,-22.6881,113.5601,"NA","NA","Pt Cloates","NA","NA",85,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB18","2021-08_PtCloates_BOSS","PCFB18","Carcharhinidae","Carcharhinus","albimarginatus",1540.05881,4229.37875,-22.7168,113.5539,"NA","NA","Pt Cloates","NA","NA",82.3,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB18","2021-08_PtCloates_BOSS","PCFB18","Labridae","Suezichthys","cyanolaemus",83.30691,1113.28326,-22.7168,113.5539,"NA","NA","Pt Cloates","NA","NA",82.3,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",243.84709,4620.35135,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",268.2619,4463.24336,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",293.93088,4464.69111,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",290.30005,4589.50899,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",292.70704,4650.07721,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",141.47054,2008.78188,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",368.1855,4289.0999,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",260.23247,4592.39234,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",421.04717,4976.44273,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",347.76719,3111.63993,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",353.45309,3376.59254,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",505.182,3181.02956,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",641.62055,2283.34521,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",530.85044,2615.14955,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",360.65888,2903.92283,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",274.67622,2956.92311,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",287.11698,2780.40484,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",338.89784,3437.66655,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",277.85632,1966.53476,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",280.05565,2897.88854,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",262.69261,2974.96165,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",284.67581,3156.95491,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",235.00165,3762.83896,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",305.02409,3640.90088,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",282.59895,3129.44513,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",240.28954,2299.75312,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",275.87832,3253.79753,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",278.61864,3156.74427,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",248.45285,4336.39278,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",267.48123,2409.88198,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",290.79581,1896.88334,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB19","2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",345.49778,2481.1585,-22.7049,113.5517,"NA","NA","Pt Cloates","NA","NA",89,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB2","2021-08_PtCloates_BOSS","PCFB2","Carangidae","Carangoides","chrysophrys",501.57448,3913.84294,-22.696,113.5523,"NA","NA","Pt Cloates","NA","NA",91,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB20","2021-08_PtCloates_BOSS","PCFB20","Carcharhinidae","Carcharhinus","albimarginatus",1792.07926,5505.82114,-22.7139,113.5477,"NA","NA","Pt Cloates","NA","NA",96.4,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB20","2021-08_PtCloates_BOSS","PCFB20","Lethrinidae","Gymnocranius","sp1",465.13181,3052.04595,-22.7139,113.5477,"NA","NA","Pt Cloates","NA","NA",96.4,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB21","2021-08_PtCloates_BOSS","PCFB21","Lutjanidae","Lutjanus","sebae",628.02329,1383.1046,-22.7582,113.5431,"NA","NA","Pt Cloates","NA","NA",82,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB22","2021-08_PtCloates_BOSS","PCFB22","Balistidae","Abalistes","filamentosus",361.69524,3280.87011,-22.6943,113.562,"NA","NA","Pt Cloates","NA","NA",78,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB22","2021-08_PtCloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","imperator",303.97239,4310.91897,-22.6943,113.562,"NA","NA","Pt Cloates","NA","NA",78,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB22","2021-08_PtCloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","semicirculatus",282.20011,5922.34925,-22.6943,113.562,"NA","NA","Pt Cloates","NA","NA",78,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB22","2021-08_PtCloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","semicirculatus",338.4085,3902.83567,-22.6943,113.562,"NA","NA","Pt Cloates","NA","NA",78,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","dumerili",527.29043,2477.52708,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","dumerili",514.24158,2194.34318,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","rivoliana",700.26764,4678.0379,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","rivoliana",542.41515,2114.116,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","acuminatus",213.52816,1460.05839,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",195.33486,1228.52608,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",215.81986,1404.62632,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",250.55518,1368.77801,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Lethrinidae","Gymnocranius","sp1",476.98831,2471.78614,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aphareus","rutilans",648.57516,3037.52094,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aphareus","rutilans",679.1111,1845.97559,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB23","2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aprion","virescens",907.94282,7277.67052,-22.7009,113.5562,"NA","NA","Pt Cloates","NA","NA",80,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB24","2021-08_PtCloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",588.78729,4850.18705,-22.6849,113.5534,"NA","NA","Pt Cloates","NA","NA",98,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB24","2021-08_PtCloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",451.93385,3648.68313,-22.6849,113.5534,"NA","NA","Pt Cloates","NA","NA",98,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB24","2021-08_PtCloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",496.4518,3583.46136,-22.6849,113.5534,"NA","NA","Pt Cloates","NA","NA",98,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB24","2021-08_PtCloates_BOSS","PCFB24","Serranidae","Epinephelus","areolatus",325.09093,2800.16617,-22.6849,113.5534,"NA","NA","Pt Cloates","NA","NA",98,"Yes","Yes"
